ประทับเวลา,เพศ,ตำแหน่ง,1. การประชาสัมพันธ์โครงการมีความชัดเจน,2. ระยะเวลาในการดำเนินโครงการมีความเหมาะสม,3. สถานที่จัดโครงการมีความเหมาะสม,4. ท่านมีความรู้ความเข้าใจเพิ่มขึ้นหลังเข้าร่วมโครงการ,5. ท่านสามารถนำความรู้ไปประยุกต์ใช้ได้จริง,6. วิทยากรมีความรู้ความสามารถในการถ่ายทอด,7. ความพึงพอใจต่อสิ่งอำนวยความสะดวกโดยรวม,ข้อเสนอแนะอื่นๆ
2026-08-01 00:00:00,หญิง,บุคลากรทางการศึกษา,4,5,5,5,5,5,4,
2026-08-01 01:00:00,หญิง,นักเรียน/นักศึกษา,4,5,5,3,3,2,3,อาหารกลางวันอร่อยดี แต่คิวยาวไปหน่อย
2026-08-01 02:00:00,หญิง,นักเรียน/นักศึกษา,3,4,3,4,3,1,4,เนื้อหาบางช่วงยากเกินไปสำหรับผู้เริ่มต้น ควรมีระดับพื้นฐานแยกต่างหาก
2026-08-01 03:00:00,หญิง,บุคลากรทางการศึกษา,4,4,4,4,3,2,4,ขอบคุณทีมงานทุกคนที่ตั้งใจจัดงานนี้ครับ
2026-08-01 04:00:00,ชาย,อื่นๆ,2,5,4,5,5,4,2,เนื้อหาบางช่วงยากเกินไปสำหรับผู้เริ่มต้น ควรมีระดับพื้นฐานแยกต่างหาก
2026-08-01 05:00:00,หญิง,นักเรียน/นักศึกษา,4,4,5,4,4,5,4,อยากให้จัดกิจกรรมแบบนี้บ่อยขึ้น มีประโยชน์มาก
2026-08-01 06:00:00,หญิง,ครู,4,4,4,4,5,4,4,อาหารกลางวันอร่อยดี แต่คิวยาวไปหน่อย
2026-08-01 07:00:00,หญิง,อื่นๆ,3,2,4,4,5,5,3,ที่จอดรถไม่เพียงพอ ควรประสานสถานที่จอดรถเพิ่ม
2026-08-01 08:00:00,ชาย,นักเรียน/นักศึกษา,3,5,4,4,4,2,4,เอกสารประกอบการอบรมควรแจกล่วงหน้าก่อนวันจริง
2026-08-01 09:00:00,หญิง,นักเรียน/นักศึกษา,4,3,4,3,5,5,4,ภาพรวมโครงการดีมาก ประทับใจการจัดงาน
2026-08-01 10:00:00,ชาย,นักเรียน/นักศึกษา,3,5,4,4,5,5,5,ขอบคุณทีมงานทุกคนที่ตั้งใจจัดงานนี้ครับ
2026-08-01 11:00:00,หญิง,นักเรียน/นักศึกษา,5,3,5,4,4,5,4,สัญญาณ Wifi ในห้องอบรมช้ามาก ควรปรับปรุง
2026-08-01 12:00:00,หญิง,ครู,4,3,4,4,4,5,4,สัญญาณ Wifi ในห้องอบรมช้ามาก ควรปรับปรุง
2026-08-01 13:00:00,หญิง,นักเรียน/นักศึกษา,4,5,3,4,4,5,4,ที่จอดรถไม่เพียงพอ ควรประสานสถานที่จอดรถเพิ่ม
2026-08-01 14:00:00,หญิง,อื่นๆ,4,3,3,4,3,2,5,ไม่มีข้อเสนอแนะเพิ่มเติม
2026-08-01 15:00:00,ชาย,บุคลากรทางการศึกษา,2,3,5,4,3,4,4,วิทยากรบรรยายดีมาก เข้าใจง่าย อยากให้เชิญมาบรรยายอีก
2026-08-01 16:00:00,หญิง,นักเรียน/นักศึกษา,5,4,5,4,5,3,4,ภาพรวมโครงการดีมาก ประทับใจการจัดงาน
2026-08-01 17:00:00,ชาย,ครู,4,5,3,5,4,4,4,อยากให้เพิ่มเวลาช่วง workshop ให้มากขึ้น รู้สึกว่าเร่งรีบเกินไป
2026-08-01 18:00:00,หญิง,บุคลากรทางการศึกษา,5,3,2,4,4,5,4,ภาพรวมโครงการดีมาก ประทับใจการจัดงาน
2026-08-01 19:00:00,หญิง,บุคลากรทางการศึกษา,3,4,4,5,5,4,4,ไม่มีข้อเสนอแนะเพิ่มเติม
2026-08-01 20:00:00,หญิง,อื่นๆ,4,5,3,5,4,5,5,ที่จอดรถไม่เพียงพอ ควรประสานสถานที่จอดรถเพิ่ม
2026-08-01 21:00:00,ชาย,ครู,4,5,5,4,5,3,5,
2026-08-01 22:00:00,หญิง,บุคลากรทางการศึกษา,5,4,4,4,5,5,5,เนื้อหาบางช่วงยากเกินไปสำหรับผู้เริ่มต้น ควรมีระดับพื้นฐานแยกต่างหาก
2026-08-01 23:00:00,หญิง,บุคลากรทางการศึกษา,4,3,3,4,4,3,4,ขอบคุณทีมงานทุกคนที่ตั้งใจจัดงานนี้ครับ
2026-08-02 00:00:00,หญิง,อื่นๆ,4,1,5,5,4,4,4,เนื้อหาบางช่วงยากเกินไปสำหรับผู้เริ่มต้น ควรมีระดับพื้นฐานแยกต่างหาก
2026-08-02 01:00:00,ชาย,อื่นๆ,4,3,3,5,5,5,5,ระบบลงทะเบียนหน้างานช้า ควรปรับปรุง
2026-08-02 02:00:00,หญิง,ครู,4,3,3,5,5,5,4,ระยะเวลาการอบรมยาวไปหน่อย รู้สึกเหนื่อยล้าช่วงบ่าย
2026-08-02 03:00:00,ชาย,ครู,4,4,3,4,5,4,5,ไม่มีข้อเสนอแนะเพิ่มเติม
2026-08-02 04:00:00,ชาย,อื่นๆ,4,3,3,4,3,2,4,ระบบลงทะเบียนหน้างานช้า ควรปรับปรุง
2026-08-02 05:00:00,หญิง,ครู,2,4,1,4,5,4,3,ระยะเวลาการอบรมยาวไปหน่อย รู้สึกเหนื่อยล้าช่วงบ่าย
2026-08-02 06:00:00,หญิง,อื่นๆ,5,4,2,5,4,2,2,ระบบลงทะเบียนหน้างานช้า ควรปรับปรุง
2026-08-02 07:00:00,หญิง,บุคลากรทางการศึกษา,5,4,3,4,3,5,5,อยากให้มีเอกสารสรุปหลังจบการอบรมส่งให้ทางอีเมล
2026-08-02 08:00:00,ชาย,อื่นๆ,3,3,2,5,4,5,2,ระยะเวลาการอบรมยาวไปหน่อย รู้สึกเหนื่อยล้าช่วงบ่าย
2026-08-02 09:00:00,ชาย,บุคลากรทางการศึกษา,4,5,4,5,5,3,3,อยากให้จัดกิจกรรมแบบนี้บ่อยขึ้น มีประโยชน์มาก
2026-08-02 10:00:00,หญิง,บุคลากรทางการศึกษา,3,5,4,3,1,3,4,อยากให้มีเอกสารสรุปหลังจบการอบรมส่งให้ทางอีเมล
2026-08-02 11:00:00,ชาย,นักเรียน/นักศึกษา,5,5,4,4,4,3,3,ระบบลงทะเบียนหน้างานช้า ควรปรับปรุง
2026-08-02 12:00:00,ชาย,ครู,4,3,4,3,5,5,4,วิทยากรบรรยายดีมาก เข้าใจง่าย อยากให้เชิญมาบรรยายอีก
2026-08-02 13:00:00,หญิง,นักเรียน/นักศึกษา,5,3,4,5,4,4,5,วิทยากรบรรยายดีมาก เข้าใจง่าย อยากให้เชิญมาบรรยายอีก
2026-08-02 14:00:00,ชาย,นักเรียน/นักศึกษา,5,5,5,3,4,5,1,อยากให้จัดกิจกรรมแบบนี้บ่อยขึ้น มีประโยชน์มาก
2026-08-02 15:00:00,หญิง,อื่นๆ,5,4,5,5,4,4,5,
2026-08-02 16:00:00,หญิง,อื่นๆ,3,4,2,3,4,4,5,อยากให้เพิ่มเวลาช่วง workshop ให้มากขึ้น รู้สึกว่าเร่งรีบเกินไป
2026-08-02 17:00:00,หญิง,นักเรียน/นักศึกษา,5,4,3,5,5,3,4,เนื้อหาบางช่วงยากเกินไปสำหรับผู้เริ่มต้น ควรมีระดับพื้นฐานแยกต่างหาก
2026-08-02 18:00:00,หญิง,บุคลากรทางการศึกษา,4,4,3,5,5,5,3,อยากให้มีเอกสารสรุปหลังจบการอบรมส่งให้ทางอีเมล
2026-08-02 19:00:00,ชาย,บุคลากรทางการศึกษา,2,5,3,4,3,4,4,เอกสารประกอบการอบรมควรแจกล่วงหน้าก่อนวันจริง
2026-08-02 20:00:00,หญิง,บุคลากรทางการศึกษา,4,3,4,5,5,4,3,อยากให้มีเอกสารสรุปหลังจบการอบรมส่งให้ทางอีเมล
2026-08-02 21:00:00,หญิง,อื่นๆ,4,5,4,5,5,5,4,ภาพรวมโครงการดีมาก ประทับใจการจัดงาน
2026-08-02 22:00:00,ชาย,บุคลากรทางการศึกษา,5,1,2,5,4,4,5,กิจกรรมกลุ่มสนุกดี ได้แลกเปลี่ยนความคิดเห็นกับผู้เข้าร่วมคนอื่น
2026-08-02 23:00:00,ชาย,ครู,5,4,4,4,5,5,5,ห้องน้ำสะอาดดี การอำนวยความสะดวกโดยรวมดี
2026-08-03 00:00:00,หญิง,บุคลากรทางการศึกษา,4,4,4,4,3,3,5,วิทยากรตอบคำถามได้ดี แต่เวลาถาม-ตอบน้อยไปหน่อย
2026-08-03 01:00:00,ชาย,ครู,5,3,3,3,5,4,4,อาหารกลางวันอร่อยดี แต่คิวยาวไปหน่อย
2026-08-03 02:00:00,ชาย,ครู,4,3,5,4,5,4,4,เนื้อหาบางช่วงยากเกินไปสำหรับผู้เริ่มต้น ควรมีระดับพื้นฐานแยกต่างหาก
2026-08-03 03:00:00,ชาย,ครู,4,4,2,3,5,4,5,
2026-08-03 04:00:00,หญิง,อื่นๆ,4,5,5,4,3,3,4,สถานที่จัดงานค่อนข้างแคบ ควรหาห้องที่ใหญ่กว่านี้
2026-08-03 05:00:00,หญิง,นักเรียน/นักศึกษา,5,4,2,4,5,3,4,ระยะเวลาการอบรมยาวไปหน่อย รู้สึกเหนื่อยล้าช่วงบ่าย
2026-08-03 06:00:00,หญิง,นักเรียน/นักศึกษา,3,5,5,4,2,4,1,เนื้อหาบางช่วงยากเกินไปสำหรับผู้เริ่มต้น ควรมีระดับพื้นฐานแยกต่างหาก
2026-08-03 07:00:00,หญิง,บุคลากรทางการศึกษา,2,5,5,4,4,4,3,อยากให้มีเอกสารสรุปหลังจบการอบรมส่งให้ทางอีเมล
2026-08-03 08:00:00,หญิง,นักเรียน/นักศึกษา,4,4,5,5,3,4,4,ขอบคุณทีมงานทุกคนที่ตั้งใจจัดงานนี้ครับ
2026-08-03 09:00:00,หญิง,ครู,5,5,5,5,5,4,3,อยากให้จัดกิจกรรมแบบนี้บ่อยขึ้น มีประโยชน์มาก
2026-08-03 10:00:00,ชาย,อื่นๆ,5,1,5,4,3,4,3,ภาพรวมโครงการดีมาก ประทับใจการจัดงาน
2026-08-03 11:00:00,ชาย,นักเรียน/นักศึกษา,5,3,4,4,5,4,5,สัญญาณ Wifi ในห้องอบรมช้ามาก ควรปรับปรุง
